City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,Rawson,-43.3002,-65.1023,81.88,33,1,20.4,AR,1675707271
320,Nemuro,43.3236,145.575,23.83,80,80,1.54,JP,1675707687
321,Beringovskiy,63.05,179.3167,-21.01,96,86,8.99,RU,1675707322
322,Tiznit Province,29.5833,-9.5,55.45,44,31,8.05,MA,1675707593
323,Rūdbār,30.15,62.6,59.36,21,18,7.99,AF,1675707778
324,Turaif,31.6725,38.6637,44.85,42,40,13.8,SA,1675707367
325,Nāwa,27.0167,75.0,65.3,33,0,6.67,IN,1675707778
326,Flin Flon,54.7682,-101.865,22.84,68,100,19.57,CA,1675707778
327,Polunochnoye,60.8697,60.4153,-6.43,100,63,2.82,RU,1675707703
328,Flinders,-34.5833,150.8552,71.19,88,100,3.0,AU,1675707333
329,Ankang,32.68,109.0172,50.13,53,90,3.8,CN,1675707779
330,Port Hardy,50.6996,-127.4199,44.78,93,100,14.97,CA,1675707779
331,Stonewall,50.1344,-97.3268,29.71,92,100,14.54,CA,1675707779
332,Sorong,-0.8833,131.25,78.35,83,100,6.93,ID,1675707553
333,Saint-Augustin,51.226,-58.6502,7.56,68,100,8.75,CA,1675707687
334,Staraya Toropa,56.2801,31.6702,28.51,98,100,3.83,RU,1675707780
335,Sovetskiy,61.3614,63.5842,-13.63,100,89,4.07,RU,1675707780
336,Taksimo,56.3444,114.8794,-2.36,89,99,3.87,RU,1675707780
337,Omsukchan,62.5333,155.8,-37.91,100,90,4.5,RU,1675707659
338,Condado,21.8767,-79.8403,87.35,43,1,1.1,CU,1675707781
339,Evensk,61.95,159.2333,-20.34,76,21,10.33,RU,1675707357
340,Basco,20.4487,121.9702,77.13,80,72,10.4,PH,1675707781
341,Bereket,39.2446,55.5154,49.05,53,66,11.48,TM,1675707682
342,Lages,-27.8161,-50.3261,82.09,24,80,4.0,BR,1675707782
343,Yeppoon,-23.1333,150.7333,74.98,86,85,17.18,AU,1675707782
344,Anadyr,64.75,177.4833,-17.9,75,75,13.42,RU,1675707632
345,Yerbogachën,61.2767,108.0108,-12.93,100,100,2.55,RU,1675707783
346,Āreka,7.0667,37.7,70.12,29,80,10.4,ET,1675707783
347,The Valley,18.217,-63.0578,82.26,65,20,19.57,AI,1675707562
348,Katherine,-14.4667,132.2667,75.52,83,47,0.0,AU,1675707784
349,Dārāb,28.7519,54.5444,57.13,34,43,3.85,IR,1675707784
350,George Town,5.4112,100.3354,75.13,94,20,3.44,MY,1675707190
